train dataset: size=1008
  inp: shape=(3, 64, 64)
  gt: shape=(31, 64, 64)
val dataset: size=336
  inp: shape=(3, 64, 64)
  gt: shape=(31, 64, 64)
model: #params=63.5M
epoch 167/1000, train: loss=0.0228, val: psnr=33.2938, val: ssim=0.9436, val: sam=15.2331, 27.5s 1.3h/7.7h
epoch 168/1000, train: loss=0.0245, val: psnr=34.7426, val: ssim=0.9472, val: sam=14.3338, 31.3s 1.3h/7.7h
epoch 169/1000, train: loss=0.0229, val: psnr=33.6815, val: ssim=0.9461, val: sam=13.3255, 26.1s 1.3h/7.7h
epoch 170/1000, train: loss=0.0240, val: psnr=32.6551, val: ssim=0.9294, val: sam=15.0727, 25.6s 1.3h/7.7h
epoch 171/1000, train: loss=0.0268, val: psnr=32.9042, val: ssim=0.9393, val: sam=14.5927, 25.9s 1.3h/7.7h
epoch 172/1000, train: loss=0.0266, val: psnr=33.2357, val: ssim=0.9277, val: sam=16.7675, 25.2s 1.3h/7.7h
epoch 173/1000, train: loss=0.0271, val: psnr=32.8250, val: ssim=0.9283, val: sam=14.9942, 25.4s 1.3h/7.7h
epoch 174/1000, train: loss=0.0248, val: psnr=33.2175, val: ssim=0.9367, val: sam=17.1837, 25.8s 1.3h/7.7h
epoch 175/1000, train: loss=0.0227, val: psnr=33.0740, val: ssim=0.9463, val: sam=15.9861, 26.0s 1.3h/7.7h
epoch 176/1000, train: loss=0.0241, val: psnr=33.3811, val: ssim=0.9396, val: sam=17.2616, 25.1s 1.4h/7.7h
epoch 177/1000, train: loss=0.0232, val: psnr=33.1838, val: ssim=0.9262, val: sam=18.2843, 25.5s 1.4h/7.7h
epoch 178/1000, train: loss=0.0234, val: psnr=32.6735, val: ssim=0.9447, val: sam=14.5960, 25.3s 1.4h/7.7h
epoch 179/1000, train: loss=0.0243, val: psnr=33.7613, val: ssim=0.9514, val: sam=14.4296, 25.6s 1.4h/7.7h
epoch 180/1000, train: loss=0.0230, val: psnr=33.8721, val: ssim=0.9449, val: sam=16.1574, 25.4s 1.4h/7.7h
epoch 181/1000, train: loss=0.0253, val: psnr=32.2853, val: ssim=0.9308, val: sam=16.5736, 25.7s 1.4h/7.7h
epoch 182/1000, train: loss=0.0250, val: psnr=33.5598, val: ssim=0.9437, val: sam=14.4953, 25.2s 1.4h/7.7h
epoch 183/1000, train: loss=0.0253, val: psnr=32.8041, val: ssim=0.9278, val: sam=18.8611, 25.5s 1.4h/7.7h
epoch 184/1000, train: loss=0.0239, val: psnr=32.7495, val: ssim=0.9483, val: sam=16.2580, 25.1s 1.4h/7.7h
epoch 185/1000, train: loss=0.0255, val: psnr=33.8131, val: ssim=0.9392, val: sam=16.0072, 25.9s 1.4h/7.7h
epoch 186/1000, train: loss=0.0225, val: psnr=33.2363, val: ssim=0.9424, val: sam=14.4757, 27.0s 1.4h/7.7h
epoch 187/1000, train: loss=0.0231, val: psnr=33.5253, val: ssim=0.9497, val: sam=16.8748, 26.2s 1.4h/7.7h
epoch 188/1000, train: loss=0.0260, val: psnr=33.1668, val: ssim=0.9371, val: sam=15.7661, 26.8s 1.4h/7.7h
epoch 189/1000, train: loss=0.0238, val: psnr=32.7270, val: ssim=0.9378, val: sam=15.6874, 26.2s 1.4h/7.7h
epoch 190/1000, train: loss=0.0240, val: psnr=33.2340, val: ssim=0.9428, val: sam=14.6553, 25.5s 1.5h/7.7h
